Seebeck,kappa,sigma,ZT
-100,2.513,49.2,0.00588
-91,2.268,113,0.01
-180,2.5,50,0.02
-162,1.787,67.3,0.03
-104,2.85,68.8,0.00787
-75,1.484,174,0.02
-46,2.17,165,0.00488
-72,1.637,149,0.01
-44,2.144,195,0.00522
-71,1.489,229,0.02
-42,1.793,131,0.0038
-651,3.562,3.305,0.01
-109,1.49,109,0.03
-53,1.725,256,0.01
-38,1.645,297,0.00793
69,1.1,4.018,0.000528
-33,1.9,105,0.00175
-358,16.23,35,0.00828
-83,3.591,270,0.02
-477,2.99,0.143,0.000327
-156,9.67,74,0.00559
-89,9.156,475,0.01
-50,9.715,1200,0.0094
-47,9.419,1380,0.00963
-51,8.868,1120,0.00974
-53,6.847,757,0.00941
-52,3.238,348,0.00883
-54,4.37,210,0.00414
-42,4.96,538,0.00585
-52,10.42,689,0.00539
-98,5.88,383,0.02
-64,7.96,217,0.0033
-301,48.7,0.059,0.000215
-154,44.495,155,0.00284
-179,44.495,312,0.00783
-138,40.29,779,0.01
-175,34.5,690,0.02
-40,5.88,0.199,0.00000159
-92,7,1140,0.04
-82,4.07,2030,0.1
-210,2.78,3.37,0.0016
109,2.185,471,0.08
135,2.3,681,0.16
-390,1.879,0.13,0.000315
395,1.807,6.368,0.02
330,1.8,14.5,0.03
215,1.8,62.7,0.05
21,3.696,2140,0.00789
82,19.08,3390,0.04
104,1.904,475,0.08
126,3.51,507,0.07
117,2,93.7,0.02
117,2,123,0.03
135,2,96.6,0.03
132,2,107,0.03
-26,3.78,2310,0.01
-24,2.746,2160,0.01
-42,2.306,766,0.02
-83,2.295,242,0.02
-28,3.083,808,0.00625
-26,8.177,15500,0.04
1235,6.586,0.054,0.000379
525,6.966,0.164,0.000194
312,7.558,0.957,0.000369
199,7.14,9.829,0.00164
197,9.293,9.374,0.00117
208,9.522,13.3,0.00181
-50,4.195,104,0.00184
-32,6.19,385,0.00197
-34,5.53,544,0.00349
-23,5.98,445,0.00114
-366,7.82,26600,0.00137
-335,6.39,24300,0.00128
-364,6.84,21400,0.00125
-752,29.6,0.343,0.000196
-249,9.811,16.8,0.0032
-343,17.1,5.269,0.00109
-92,1.667,354,0.05
-186,1.667,9.522,0.00593
-220,1.667,16.2,0.01
-19,2.45,877,0.00388
-107,1.8,200,0.04
-43,1.7,1520,0.05
-50,1.52,1280,0.06
-50,1.94,1510,0.06
256,0.481,156,0.64
-102,1.86,303,0.05
106,1.77,427,0.08
46,2.18,1620,0.05
-320,0.81,77.5,0.29
-154,1.216,382,0.22
-128,1.06,515,0.24
149,2,355,0.12
-79,1.5,129,0.02
-27,2.31,1700,0.02
-280,2.087,167,0.19
-257,2.188,342,0.31
-247,2.299,534,0.42
-222,2.476,670,0.4
-217,2.559,878,0.49
-212,2.688,662,0.33
-192,2.57,882,0.38
101,1.91,971,0.16
87,2.4,1120,0.11
58,1.55,1300,0.09
87,1.37,679,0.11
108,1.6,609,0.13
-200,7.72,133,0.02
-133,7.98,952,0.06
-95,6.02,114,0.00513
-113,8.5,1670,0.08
-92,8.35,1300,0.04
-119,6.904,814,0.05
-163,6.887,728,0.08
-131,5.802,901,0.08
-271,6.076,31.8,0.01
-177,6.893,866,0.12
-140,7.426,1530,0.12
-96,6.96,2850,0.11
-354,10.143,31.8,0.01
-171,9.676,913,0.08
-131,10.059,1620,0.08
-78,8.859,2970,0.06
-179,4.087,103,0.02
-189,3.814,111,0.03
-370,3.17,116,0.15
-312,3.063,210,0.2
-252,3.394,208,0.12
-177,3.949,107,0.03
-250,2.887,415,0.27
-211,2.767,858,0.41
56,0.84,490,0.06
111,1.01,475,0.17
122,0.77,433,0.25
127,0.76,470,0.3
136,0.783,460,0.33
165,1.45,0.834,0.00047
90,1.67,10.2,0.00148
82,1.65,17,0.00205
113,1.59,36.4,0.0087
470,1.54,2.188,0.00941
193,1.49,30.1,0.02
143,1.45,198,0.08
162,1.468,1820,0.98
-174,4.017,2220,0.5
38,3.378,5260,0.07
63,5.205,8200,0.19
79,1.499,1440,0.18
62,3.996,2710,0.08
51,3.014,2420,0.06
59,2.696,1950,0.08
140,1.942,365,0.11
136,2.168,418,0.11
-196,1.285,30.8,0.03
279,0.956,22.4,0.05
4,3.812,1410,0.000185
3,2.773,1300,0.000158
6,2.125,1170,0.000654
22,1.938,1970,0.01
27,1.432,1450,0.02
23,1.488,1540,0.02
8,1.714,1620,0.00194
48,1.348,1200,0.06
154,1.5,1180,0.56
-41,2.94,3090,0.05
-51,2.9,2170,0.06
-65,2.66,2090,0.1
-25,1.3,6.061,0.0000874
-160,0.783,0.000069,6.76E-08
345,0.377,0.00769,0.0000729
388,0.2,3.931,0.09
219,5.09,238,0.07
285,9.07,43.2,0.01
163,6.75,231,0.03
90,0.97,1000,0.25
62,1.25,1650,0.15
-45,2.402,1890,0.05
-53,2.05,909,0.04
-91,1.47,55.6,0.00939
-71,1.967,141,0.01
-41,2.46,1640,0.03
-41,1.24,370,0.02
81,2.85,1470,0.1
68,3.065,2440,0.11
64,4.29,2400,0.07
128,4.34,750,0.08
-123,4.139,855,0.09
121,2.449,849,0.15
-151,8.52,692,0.06
-107,7.08,1220,0.06
-77,6.16,2050,0.06
-68,6.55,2710,0.06
-61,6.55,3030,0.05
-83,7.13,658,0.02
-83,2.98,667,0.05
26,7.83,0.806,0.00000209
30,4.11,19.5,0.000132
-89,4.5,616,0.03
-75,5.6,964,0.03
-61,5.2,472,0.01
-178,7.25,821,0.11
-191,5.69,21.1,0.00405
-318,4.59,7.843,0.00518
-226,2.86,3.704,0.00198
